coral_id,bouyantweight_g,temp_c,date,group,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,density_stopper,density_sw,vol_coral_cm3,dry_mass_coral_g
107,4.659,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.4394827857635857,7.147684562287306
65,6.088,22,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.1877165056296866,9.340009361494982
83,5.915,22,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.097132577332391,9.074598451583906
27,6.543,22,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.4259574731167937,10.038055396232206
22,5.539,22.1,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.900256525079309,8.497751618482376
44,6.512,22.1,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.409725670936353,9.990496215843516
105,8.142,22.1,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,4.263204301714341,12.49118860402302
21,5.25,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.74893424023585,8.05437732389104
64,4.696,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.458856227075724,7.204448745331871
38,5.446,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.851561118537988,8.355074077316306
4,8.189,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,4.287813808245977,12.563294458160712
71,6.665,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.489837468794655,10.22522378356834
82,5.19,22.2,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.717517848918869,7.962327297332286
36,6.446,22.3,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.375167640487674,9.889241186628885
95,6.949,22.4,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.638541721028366,10.660927242613113
13,5.574,22.4,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.918582753347548,8.551447467308316
86,6.456,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.380403705707171,9.904582857722012
40,9.055,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,4.741257056254404,13.891883174825404
31,6.167,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.2290814208637117,9.461208563130675
10,6.652,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.4830305840093096,10.205279611147278
39,5.737,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.003930616425347,8.801516706126268
61,4.756,22.5,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.4902726183927055,7.296498771890628
8,5.06,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.6494490010654097,7.762885573121651
72,5.741,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.0060250425131456,8.807653374563516
66,6.971,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.650061064511259,10.69467891901799
79,5.838,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.0568148751422655,8.956467584166838
48,5.898,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.088231266459246,9.048517610725591
93,6.32,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.309193218722014,9.695936130855502
30,6.609,22.6,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.460515503565473,10.139310425446837
80,6.808,22.7,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.5647132014334604,10.44460968020004
100,6.581,22.7,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.4458545209508817,10.096353746386084
