#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Host Connected,Chan 1 Alarm Cleared,Button Down,Button Up,End of File
364,06/15/2023 02:08:45,29.56,,,,,,
365,06/15/2023 02:18:45,29.26,,,,,,
366,06/15/2023 02:28:45,29.47,,,,,,
367,06/15/2023 02:38:45,29.64,,,,,,
368,06/15/2023 02:48:45,29.81,,,,,,
369,06/15/2023 02:58:45,29.81,,,,,,
370,06/15/2023 03:08:45,29.34,,,,,,
371,06/15/2023 03:18:45,29.47,,,,,,
372,06/15/2023 03:28:45,29.60,,,,,,
373,06/15/2023 03:38:45,29.64,,,,,,
374,06/15/2023 03:48:45,29.77,,,,,,
375,06/15/2023 03:58:45,29.68,,,,,,
376,06/15/2023 04:08:45,29.34,,,,,,
377,06/15/2023 04:18:45,29.43,,,,,,
378,06/15/2023 04:28:45,29.56,,,,,,
379,06/15/2023 04:38:45,29.64,,,,,,
380,06/15/2023 04:48:45,29.64,,,,,,
381,06/15/2023 04:58:45,29.73,,,,,,
382,06/15/2023 05:08:45,29.77,,,,,,
383,06/15/2023 05:18:45,29.81,,,,,,
384,06/15/2023 05:28:45,29.51,,,,,,
385,06/15/2023 05:38:45,29.34,,,,,,
386,06/15/2023 05:48:45,29.43,,,,,,
387,06/15/2023 05:58:45,29.51,,,,,,
388,06/15/2023 06:08:45,29.60,,,,,,
389,06/15/2023 06:18:45,29.68,,,,,,
390,06/15/2023 06:28:45,29.73,,,,,,
391,06/15/2023 06:38:45,29.81,,,,,,
392,06/15/2023 06:48:45,29.43,,,,,,
393,06/15/2023 06:58:45,29.34,,,,,,
394,06/15/2023 07:08:45,29.51,,,,,,
395,06/15/2023 07:18:45,29.68,,,,,,
396,06/15/2023 07:28:45,29.73,,,,,,
397,06/15/2023 07:38:45,29.81,,,,,,
398,06/15/2023 07:48:45,29.56,,,,,,
399,06/15/2023 07:58:45,29.30,,,,,,
400,06/15/2023 08:08:45,29.56,,,,,,
401,06/15/2023 08:18:45,29.68,,,,,,
402,06/15/2023 08:28:45,29.77,,,,,,
403,06/15/2023 08:38:45,29.86,,,,,,
404,06/15/2023 08:48:45,29.68,,,,,,
405,06/15/2023 08:58:45,29.38,,,,,,
406,06/15/2023 09:08:45,29.56,,,,,,
407,06/15/2023 09:18:45,29.73,,,,,,
408,06/15/2023 09:28:45,29.86,,,,,,
409,06/15/2023 09:38:45,29.60,,,,,,
410,06/15/2023 09:48:45,29.43,,,,,,
411,06/15/2023 09:58:45,29.68,,,,,,
412,06/15/2023 10:08:45,29.98,,,,,,
413,06/15/2023 10:18:45,29.77,,,,,,
414,06/15/2023 10:28:45,29.64,,,,,,
415,06/15/2023 10:38:45,29.56,,,,,,
416,06/15/2023 10:48:45,29.43,,,,,,
417,06/15/2023 10:58:45,29.68,,,,,,
418,06/15/2023 11:08:45,29.98,,,,,,
419,06/15/2023 11:18:45,29.81,,,,,,
420,06/15/2023 11:28:45,29.68,,,,,,
421,06/15/2023 11:38:45,29.51,,,,,,
422,06/15/2023 11:48:45,29.43,,,,,,
423,06/15/2023 11:58:45,29.81,,,,,,
424,06/15/2023 12:08:45,29.94,,,,,,
425,06/15/2023 12:18:45,29.81,,,,,,
426,06/15/2023 12:28:45,29.77,,,,,,
427,06/15/2023 12:38:45,29.68,,,,,,
428,06/15/2023 12:48:45,29.68,,,,,,
429,06/15/2023 12:58:45,29.68,,,,,,
430,06/15/2023 13:08:45,29.64,,,,,,
431,06/15/2023 13:18:45,29.60,,,,,,
432,06/15/2023 13:28:45,29.60,,,,,,
433,06/15/2023 13:38:45,29.51,,,,,,
434,06/15/2023 13:48:45,29.47,,,,,,
435,06/15/2023 13:58:45,29.60,,,,,,
436,06/15/2023 14:08:45,29.98,,,,,,
437,06/15/2023 14:18:45,29.86,,,,,,
438,06/15/2023 14:28:45,29.73,,,,,,
439,06/15/2023 14:38:45,29.73,,,,,,
440,06/15/2023 14:48:45,29.60,,,,,,
441,06/15/2023 14:58:45,29.60,,,,,,
442,06/15/2023 15:08:45,29.47,,,,,,
443,06/15/2023 15:18:45,29.43,,,,,,
444,06/15/2023 15:28:45,29.64,,,,,,
445,06/15/2023 15:38:45,29.94,,,,,,
446,06/15/2023 15:48:45,29.81,,,,,,
447,06/15/2023 15:58:45,29.47,,,,,,
448,06/15/2023 16:08:45,29.43,,,,,,
449,06/15/2023 16:18:45,29.51,,,,,,
450,06/15/2023 16:28:45,29.51,,,,,,
451,06/15/2023 16:38:45,29.56,,,,,,
452,06/15/2023 16:48:45,29.51,,,,,,
453,06/15/2023 16:58:45,29.47,,,,,,
454,06/15/2023 17:08:45,29.34,,,,,,
455,06/15/2023 17:18:45,29.30,,,,,,
456,06/15/2023 17:28:45,29.26,,,,,,
457,06/15/2023 17:38:45,29.21,,,,,,
458,06/15/2023 17:48:45,29.13,,,,,,
459,06/15/2023 17:58:45,29.17,,,,,,
460,06/15/2023 18:08:45,29.13,,,,,,
461,06/15/2023 18:18:45,29.08,,,,,,
462,06/15/2023 18:28:45,29.04,,,,,,
463,06/15/2023 18:38:45,29.13,,,,,,
464,06/15/2023 18:48:45,29.08,,,,,,
465,06/15/2023 18:58:45,29.08,,,,,,
466,06/15/2023 19:08:45,29.04,,,,,,
467,06/15/2023 19:18:45,29.00,,,,,,
468,06/15/2023 19:28:45,29.00,,,,,,
469,06/15/2023 19:38:45,29.04,,,,,,
470,06/15/2023 19:48:45,29.13,,,,,,
471,06/15/2023 19:58:45,29.13,,,,,,
472,06/15/2023 20:08:45,29.04,,,,,,
473,06/15/2023 20:18:45,29.13,,,,,,
474,06/15/2023 20:28:45,29.17,,,,,,
475,06/15/2023 20:38:45,29.08,,,,,,
476,06/15/2023 20:48:45,29.08,,,,,,
477,06/15/2023 20:58:45,29.08,,,,,,
478,06/15/2023 21:08:45,29.08,,,,,,
479,06/15/2023 21:18:45,29.08,,,,,,
